Net Status Report
Filename     : C:\Users\darcy\OneDrive\Documents\GitHub\stm-32-plc-project CBU6\stm32-plc\Main.PcbDoc
Date         : 18/02/2026
Time         : 1:24:00 PM
Time Elapsed : 00:00:00

Nets, Layer, Length
    NetR16C_1, Signal Layers Only, 11.9627mm
    NetR16D_1, Signal Layers Only, 13.5575mm
    NetR27_1, Signal Layers Only, 10.6535mm
    NetR28_1, Signal Layers Only, 6.5617mm
    NetR37A_2, Signal Layers Only, 2.4999mm
    NetR37B_2, Signal Layers Only, 2.4999mm
    NetR37C_2, Signal Layers Only, 2.4998mm
    NetR37D_2, Signal Layers Only, 2.4998mm
    NetR5A_2, Signal Layers Only, 8.8506mm
    NetR5B_2, Signal Layers Only, 13.8264mm
    NetR7A_1, Signal Layers Only, 7.236mm
    NetR7B_1, Signal Layers Only, 6.8961mm
    NetR8A_1, Signal Layers Only, 2.6284mm
    NetR8A_2, Signal Layers Only, 24.8712mm
    NetR8B_1, Signal Layers Only, 2.6615mm
    NetR8B_2, Signal Layers Only, 8.9027mm
    NetR9A_1, Signal Layers Only, 19.007mm
    NetR9A_2, Signal Layers Only, 13.6012mm
    NetR9B_1, Signal Layers Only, 2.529mm
    NetR9B_2, Signal Layers Only, 4.8534mm
    NetSW1A_1, Signal Layers Only, 3.3mm
    NetSW1A_6, Signal Layers Only, 13.3848mm
    NetSW1B_1, Signal Layers Only, 3.3mm
    NetSW1B_6, Signal Layers Only, 26.602mm
    NetU2A_2, Signal Layers Only, 11.3953mm
    NetU2B_2, Signal Layers Only, 17.6093mm
    NetU7A_2, Signal Layers Only, 9.879mm
    NetU7B_2, Signal Layers Only, 8.6147mm
    NetU7C_2, Signal Layers Only, 8.6483mm
    NetU7D_2, Signal Layers Only, 9.6839mm
    PA10, Signal Layers Only, 118.0196mm
    PA11, Signal Layers Only, 18.6454mm
    PA12, Signal Layers Only, 15.1986mm
    PA13, Signal Layers Only, 24.0543mm
    PA14, Signal Layers Only, 21.3235mm
    PA8, Signal Layers Only, 129.3405mm
    PA9, Signal Layers Only, 121.3277mm
    PB1, Signal Layers Only, 47.0408mm
    PB10, Signal Layers Only, 0mm
    PB15, Signal Layers Only, 0mm
    PB2, Signal Layers Only, 70.9721mm
    PB3, Signal Layers Only, 52.6719mm
    PB4, Signal Layers Only, 0mm
    PB5, Signal Layers Only, 0mm
    PB6, Signal Layers Only, 0mm
    PB8_BOOT0, Signal Layers Only, 138.6277mm
    PC6, Signal Layers Only, 20.767mm
    RX, Signal Layers Only, 40.0792mm
    SCL2, Signal Layers Only, 45.4685mm
    SDA2, Signal Layers Only, 46.5117mm
    TX, Signal Layers Only, 48.5929mm
    VBAT, Signal Layers Only, 0mm
    VREF+, Signal Layers Only, 0mm
count : 173
